# Programación básica
"qué es programar" "Dar instrucciones a una computadora para resolver problemas."
"python" "Lenguaje claro, ideal para scripts, datos e IA."
"javascript" "Lenguaje de la web y también de backends con Node.js."
"typescript" "JavaScript con tipos; ayuda a evitar errores."
"html" "Estructura de páginas web."
"css" "Estilos visuales de páginas web."
"git" "Control de versiones para guardar historial del código."
"github" "Plataforma para alojar repositorios git."
"api" "Interfaz para que programas se comuniquen entre sí."
"bug" "Error en el programa. Se reproduce, se aísla y se corrige."
"debug" "Investigar por qué falla el código."
"variable" "Nombre que guarda un valor en memoria."
"función" "Bloque reutilizable de código que hace una tarea."
"linux" "Sistema operativo común en servidores."
"terminal" "Interfaz de texto para ejecutar comandos."
"json" "Formato de datos muy usado en APIs."
"bot de whatsapp" "Programa que lee mensajes y responde o ejecuta comandos."
"ia local" "Modelo que corre en tu servidor sin depender siempre de la nube."
