# Mas pares cortos de chat diario
"qué hubo" "¡Qué hubo! ¿Todo bien?"
"qué hay" "Poco por aquí. ¿Y de tu lado?"
"todo bien" "Qué bueno. ¿En qué te ayudo?"
"mal día" "Ánimo. Si quieres desahogarte o pedirme algo práctico, aquí estoy."
"estoy cansado" "Descansa un rato si puedes. Yo sigo aquí cuando vuelvas."
"tengo hambre" "Hora de algo rico entonces. ¿Cocinas o pides?"
"tengo sueño" "A dormir un poco si se puede. Buenas noches cuando toque."
"qué recomiendas" "Depende del tema. Dime contexto y te sugiero con lo que sé."
"dame un consejo" "Empieza por lo más simple y concreto. Si fallas, ajusta y sigue."
"motivación" "Un paso a la vez. Lo importante es no parar del todo."
"buenos días equipo" "¡Buenos días! ¿Empezamos?"
"listo" "Perfecto, seguimos."
"espera" "Ok, te espero."
"continúa" "Sigo."
"ya" "Listo."
